name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
scix.throttled.landing.pre-load.cited-by-author,general,12623,481,13,8068,15088,"11/4/2024, 3:03:30 PM","11/4/2024, 4:42:56 PM"
scix.throttled.landing.post-load.cited-by-author,general,12008,473,13,7656,14513,"11/4/2024, 3:03:31 PM","11/4/2024, 4:42:56 PM"
scix.normal.landing.pre-load.title-keyword,general,3623,304,13,2107,5038,"11/4/2024, 3:03:43 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.post-load.title-keyword,general,3323,285,13,1909,4824,"11/4/2024, 3:03:43 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.pre-load.abstract-keyword,general,4184,166,13,2684,4918,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.post-load.abstract-keyword,general,3661,169,13,2216,4654,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.pre-load.affiliation,general,4226,179,13,2572,5057,"11/4/2024, 3:03:43 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.post-load.affiliation,general,3806,166,13,2205,4552,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.pre-load.full-text,general,4076,242,13,2243,5300,"11/4/2024, 3:03:43 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.post-load.full-text,general,3692,213,13,2060,4742,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:08 PM"
scix.normal.landing.pre-load.pub-type,general,4050,134,13,3085,4994,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:09 PM"
scix.normal.landing.post-load.pub-type,general,3422,152,13,2605,4443,"11/4/2024, 3:03:45 PM","11/4/2024, 4:43:09 PM"
scix.normal.landing.pre-load.keyword-search,general,3868,202,13,2931,5586,"11/4/2024, 3:03:44 PM","11/4/2024, 4:43:09 PM"
scix.normal.landing.post-load.keyword-search,general,3166,153,13,2344,4476,"11/4/2024, 3:03:45 PM","11/4/2024, 4:43:10 PM"
scix.normal.landing.pre-load.arxiv-id,general,3620,202,13,2244,4605,"11/4/2024, 3:03:48 PM","11/4/2024, 4:43:12 PM"
scix.normal.landing.post-load.arxiv-id,general,3011,162,13,1806,3990,"11/4/2024, 3:03:49 PM","11/4/2024, 4:43:13 PM"
scix.normal.landing.pre-load.and-search,general,3844,143,13,2893,4639,"11/4/2024, 3:03:48 PM","11/4/2024, 4:43:12 PM"
